Date,Nitrogen Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2010-11-10,44,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-11-11,54,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-12,58,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-13,57,Unknown,Pomona,06-037-1701,AQS
2010-11-14,54,Unknown,LAX Hastings,06-037-5005,AQS
2010-11-15,52,Unknown,Santa Clarita,06-037-6012,AQS
2010-11-16,56,Unknown,Santa Clarita,06-037-6012,AQS
2010-11-17,70,Unknown,Pomona,06-037-1701,AQS
2010-11-18,81,Unknown,La Habra,06-059-5001,AQS
2010-11-19,33,Unknown,Pomona,06-037-1701,AQS
2010-11-20,26,Unknown,Compton,06-037-1302,AQS
2010-11-21,32,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-11-22,41,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-23,34,Unknown,LAX Hastings,06-037-5005,AQS
2010-11-24,44,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-25,41,Unknown,Pomona,06-037-1701,AQS
2010-11-26,44,Unknown,Pomona,06-037-1701,AQS
2010-11-27,42,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-28,32,Unknown,Pomona,06-037-1701,AQS
2010-11-29,54,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-11-30,56,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-01,51,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-12-02,66,Unknown,Compton,06-037-1302,AQS
2010-12-03,73,Unknown,Reseda,06-037-1201,AQS
2010-12-04,55,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-12-05,60,Unknown,LAX Hastings,06-037-5005,AQS
2010-12-06,41,Unknown,Azusa,06-037-0002,AQS
2010-12-07,55,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-08,64,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-09,71,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-12-10,77,Unknown,Glendora,06-037-0016,AQS
2010-12-11,53,Unknown,Compton,06-037-1302,AQS
2010-12-12,55,Unknown,Compton,06-037-1302,AQS
2010-12-13,67,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-14,51,Unknown,Santa Clarita,06-037-6012,AQS
2010-12-15,33,Unknown,Santa Clarita,06-037-6012,AQS
2010-12-16,39,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-17,39,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-12-18,25,Unknown,LAX Hastings,06-037-5005,AQS
2010-12-19,21,Unknown,Compton,06-037-1302,AQS
2010-12-20,40,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-12-21,40,Unknown,Compton,06-037-1302,AQS
2010-12-22,42,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2010-12-23,40,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-12-24,36,Unknown,Anaheim,06-059-0007,AQS
2010-12-25,33,Unknown,Anaheim,06-059-0007,AQS
2010-12-26,38,Unknown,Pomona,06-037-1701,AQS
2010-12-27,45,Unknown,Long Beach (Hudson),06-037-4006,AQS
2010-12-28,48,Unknown,Pico Rivera #2,06-037-1602,AQS
2010-12-29,34,Unknown,Azusa,06-037-0002,AQS
2010-12-30,42,Unknown,Pomona,06-037-1701,AQS
2010-12-31,43,Unknown,Compton,06-037-1302,AQS
2011-01-01,40,Unknown,Compton,06-037-1302,AQS
2011-01-02,41,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-03,37,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-04,52,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-05,51,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-06,60,Unknown,Compton,06-037-1302,AQS
2011-01-07,47,Unknown,LAX Hastings,06-037-5005,AQS
2011-01-08,32,Unknown,Compton,06-037-1302,AQS
2011-01-09,101,Unknown,Pasadena,06-037-2005,AQS
2011-01-10,56,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-11,48,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-12,45,Unknown,Compton,06-037-1302,AQS
2011-01-13,57,Unknown,Costa Mesa,06-059-1003,AQS
2011-01-14,68,Unknown,LAX Hastings,06-037-5005,AQS
2011-01-15,62,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-16,70,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-01-17,97,Unknown,LAX Hastings,06-037-5005,AQS
2011-01-18,80,Unknown,West Los Angeles,06-037-0113,AQS
2011-01-19,73,Unknown,Compton,06-037-1302,AQS
2011-01-20,66,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-21,63,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-22,48,Unknown,Reseda,06-037-1201,AQS
2011-01-23,54,Unknown,LAX Hastings,06-037-5005,AQS
2011-01-24,55,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-25,88,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-26,69,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-27,71,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-28,53,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-01-29,51,Unknown,LAX Hastings,06-037-5005,AQS
2011-01-30,27,Unknown,Compton,06-037-1302,AQS
2011-01-31,44,Unknown,LAX Hastings,06-037-5005,AQS
2011-02-01,45,Unknown,Pomona,06-037-1701,AQS
2011-02-02,53,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-03,56,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-04,47,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-05,60,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-02-06,61,Unknown,LAX Hastings,06-037-5005,AQS
2011-02-07,58,Unknown,Compton,06-037-1302,AQS
2011-02-08,44,Unknown,LAX Hastings,06-037-5005,AQS
2011-02-09,47,Unknown,LAX Hastings,06-037-5005,AQS
2011-02-10,63,Unknown,LAX Hastings,06-037-5005,AQS
2011-02-11,63,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-12,49,Unknown,Pomona,06-037-1701,AQS
2011-02-13,44,Unknown,Long Beach (North),06-037-4002,AQS
2011-02-14,42,Unknown,Pomona,06-037-1701,AQS
2011-02-15,41,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-02-16,33,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-02-17,45,Unknown,Long Beach (North),06-037-4002,AQS
2011-02-18,41,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-19,35,Unknown,West Los Angeles,06-037-0113,AQS
2011-02-20,41,Unknown,Long Beach (North),06-037-4002,AQS
2011-02-21,43,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-22,41,Unknown,Pomona,06-037-1701,AQS
2011-02-23,43,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-02-24,40,Unknown,Compton,06-037-1302,AQS
2011-02-25,43,Unknown,Pomona,06-037-1701,AQS
2011-02-26,33,Unknown,Compton,06-037-1302,AQS
2011-02-27,42,Unknown,Anaheim,06-059-0007,AQS
2011-02-28,49,Unknown,Pomona,06-037-1701,AQS
2011-03-01,47,Unknown,Compton,06-037-1302,AQS
2011-03-02,47,Unknown,Glendora,06-037-0016,AQS
2011-03-03,37,Unknown,Long Beach (North),06-037-4002,AQS
2011-03-04,52,Unknown,Burbank,06-037-1002,AQS
2011-03-05,47,Unknown,Long Beach (North),06-037-4002,AQS
2011-03-06,38,Unknown,Burbank,06-037-1002,AQS
2011-03-07,31,Unknown,Pomona,06-037-1701,AQS
2011-03-08,50,Unknown,Anaheim,06-059-0007,AQS
2011-03-09,55,Unknown,Anaheim,06-059-0007,AQS
2011-03-10,64,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-03-11,43,Unknown,Pomona,06-037-1701,AQS
2011-03-12,34,Unknown,Burbank,06-037-1002,AQS
2011-03-13,35,Unknown,Pomona,06-037-1701,AQS
2011-03-14,56,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-03-15,44,Unknown,Pomona,06-037-1701,AQS
2011-03-16,38,Unknown,Burbank,06-037-1002,AQS
2011-03-17,48,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-03-18,42,Unknown,Pomona,06-037-1701,AQS
2011-03-19,28,Unknown,Pomona,06-037-1701,AQS
2011-03-20,25,Unknown,LAX Hastings,06-037-5005,AQS
2011-03-21,52,Unknown,Pomona,06-037-1701,AQS
2011-03-22,42,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-03-23,37,Unknown,Long Beach (North),06-037-4002,AQS
2011-03-24,38,Unknown,Long Beach (Hudson),06-037-4006,AQS
2011-03-25,35,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-03-26,61,Unknown,Pomona,06-037-1701,AQS
2011-03-27,33,Unknown,Pomona,06-037-1701,AQS
2011-03-28,34,Unknown,LAX Hastings,06-037-5005,AQS
2011-03-29,46,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-03-30,57,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2011-03-31,66,Unknown,LAX Hastings,06-037-5005,AQS
2011-04-01,63,Unknown,West Los Angeles,06-037-0113,AQS
2011-04-02,31,Unknown,Pomona,06-037-1701,AQS
2011-04-03,30,Unknown,Pomona,06-037-1701,AQS
2011-04-04,44,Unknown,Pomona,06-037-1701,AQS
2011-04-05,46,Unknown,Pasadena,06-037-2005,AQS
2011-04-06,35,Unknown,Compton,06-037-1302,AQS
2011-04-07,27,Unknown,Santa Clarita,06-037-6012,AQS
2011-04-08,39,Unknown,Pico Rivera #2,06-037-1602,AQS
2011-04-09,38,Unknown,Long Beach (Hudson),06-037-4006,AQS
