STATION,NAME,DATE,TMAX,TMIN,TAVG,PRCP
USW00003159,"LANCASTER, CA US",2022-01-04,,61.0,41.0,
USC00048014,"SAUGUS POWER PLANT 1, CA US",2022-01-04,,,,
USR0000CDVA,"DEL VALLE CALIFORNIA, CA US",2022-01-04,51.0,68.0,38.0,
USC00046602,"PACOIMA DAM FC33A E, CA US",2022-01-04,,,,
USC00046719,"PASADENA, CA US",2022-01-04,,65.0,42.0,43.0
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022-01-04,,,,
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2022-01-04,52.0,65.0,40.0,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2022-01-04,,63.0,42.0,
USC00047326,"REDONDO BEACH, CA US",2022-01-04,,61.0,41.0,57.0
US1CALA0014,"CANYON COUNTRY 2.6 E, CA US",2022-01-04,,,,
US1CALA0108,"AGOURA HILLS 1.3 NNE, CA US",2022-01-04,,,,
USR0000CCLA,"CLAREMONT CALIFORNIA, CA US",2022-01-04,48.0,62.0,38.0,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2022-01-04,,,,
USC00046624,"PALMDALE, CA US",2022-01-04,,63.0,27.0,43.0
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022-01-04,,,,
USC00046663,"PALOS VERDES ES FC43D, CA US",2022-01-04,,,,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022-01-04,,,,
US1CALA0023,"DIAMOND BAR 1.9 NNE, CA US",2022-01-04,,,,
USR0000CWHH,"WHITTIER HILLS CALIFORNIA, CA US",2022-01-04,53.0,63.0,45.0,
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022-01-04,49.0,56.0,42.0,
US1CALA0043,"PASADENA 1.8 E, CA US",2022-01-04,,,,
USR0000CBEV,"BEVERLY HILLS CALIFORNIA, CA US",2022-01-04,54.0,67.0,44.0,
USC00049152,"U C L A, CA US",2022-01-04,,63.0,44.0,57.0
USW00003122,"TORRANCE AIRPORT, CA US",2022-01-04,,60.0,41.0,57.0
USR0000CCLE,"CLEAR CREEK CALIFORNIA, CA US",2022-01-04,53.0,58.0,44.0,
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022-01-04,49.0,55.0,44.0,
USW00023152,"BURBANK GLENDALE PASADENA AIRPORT, CA US",2022-01-04,,65.0,39.0,
USC00049785,"WOODLAND HILLS PIERCE COLLEGE, CA US",2022-01-04,,72.0,33.0,68.0
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2022-01-04,48.0,62.0,33.0,
US1CALA0067,"SANTA CLARITA 3.1 WSW, CA US",2022-01-04,,,,
USR0000CTAN,"TANBARK CALIFORNIA, CA US",2022-01-04,49.0,59.0,42.0,
US1CALA0048,"SANTA MONICA 1.3 NNE, CA US",2022-01-04,,,,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022-01-04,,,,
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022-01-04,54.0,62.0,47.0,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022-01-04,,,,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022-01-04,50.0,64.0,40.0,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2022-01-04,,,,
US1CALA0010,"WHITTIER 2.9 WNW, CA US",2022-01-04,,,,
