Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
2020-09-28,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-29,11,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-09-30,19,Unknown,Compton,06-037-1302,AQS
2020-10-01,17,Unknown,Compton,06-037-1302,AQS
2020-10-02,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-03,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-04,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-05,15,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-06,15,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-07,11,Unknown,Azusa,06-037-0002,AQS
2020-10-08,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-09,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-10,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-11,8,Unknown,Compton,06-037-1302,AQS
2020-10-12,11,Unknown,Compton,06-037-1302,AQS
2020-10-13,16,Unknown,Compton,06-037-1302,AQS
2020-10-14,24,Unknown,Compton,06-037-1302,AQS
2020-10-15,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-16,14,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-17,14,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-10-18,9,Unknown,Reseda,06-037-1201,AQS
2020-10-19,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-20,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-21,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-22,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-23,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-24,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-25,7,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-26,14,Unknown,Compton,06-037-1302,AQS
2020-10-27,19,Unknown,Compton,06-037-1302,AQS
2020-10-28,16,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-10-29,18,Unknown,Compton,06-037-1302,AQS
2020-10-30,20,Unknown,Compton,06-037-1302,AQS
2020-10-31,15,Unknown,Los Angeles-North Main Street,06-037-1103,AQS
2020-11-01,15,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-02,15,Unknown,Reseda,06-037-1201,AQS
2020-11-03,11,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-04,20,Unknown,Compton,06-037-1302,AQS
2020-11-05,23,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-06,20,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-07,8,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-08,9,Unknown,Anaheim Near-Road,06-059-0008,AQS
2020-11-09,10,Unknown,Compton,06-037-1302,AQS
2020-11-10,15,Unknown,Compton,06-037-1302,AQS
