"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/19/2007","54","","United Avenue","13-121-0055","AQS"
"01/20/2007","45","","United Avenue","13-121-0055","AQS"
"01/21/2007","53","","E. Rivers School","13-121-0032","AQS"
"01/22/2007","52","","United Avenue","13-121-0055","AQS"
"01/23/2007","56","","United Avenue","13-121-0055","AQS"
"01/24/2007","62","","Forest Park","13-063-0091","AQS"
"01/25/2007","54","","E. Rivers School","13-121-0032","AQS"
"01/26/2007","60","","E. Rivers School","13-121-0032","AQS"
"01/27/2007","64","","United Avenue","13-121-0055","AQS"
"01/28/2007","49","","United Avenue","13-121-0055","AQS"
"01/29/2007","53","","United Avenue","13-121-0055","AQS"
"01/30/2007","57","","South DeKalb","13-089-0002","AQS"
"01/31/2007","58","","South DeKalb","13-089-0002","AQS"
